player_id,Age,Gender,HCP,Driver,Driver_Dispersion,3-Wood,3-Wood_Dispersion,5-Wood,5-Wood_Dispersion,3-Hybrid,3-Hybrid_Dispersion,4-Hybrid,4-Hybrid_Dispersion,5-Hybrid,5-Hybrid_Dispersion,4-Iron,4-Iron_Dispersion,5-Iron,5-Iron_Dispersion,6-Iron,6-Iron_Dispersion,7-Iron,7-Iron_Dispersion,8-Iron,8-Iron_Dispersion,9-Iron,9-Iron_Dispersion,PW,PW_Dispersion,GW,GW_Dispersion,SW,SW_Dispersion,LW,LW_Dispersion
1,31,Male,15.0,242.0,26.2,220.9,17.8,,,185.6,17.1,,,,,,,,,,,147.3,14.5,153.2,13.0,115.9,8.3,114.0,3.9,113.6,6.7,99.7,4.5,,
2,39,Male,13.4,232.9,22.9,233.2,22.4,,,,,,,,,,,,,164.0,11.2,137.2,8.8,133.1,8.7,134.3,6.1,117.8,4.3,124.5,6.5,100.4,4.8,,
3,37,Male,29.0,161.6,30.1,127.6,22.5,,,,,,,109.9,18.7,,,,,137.2,10.6,100.2,14.7,113.2,8.2,100.2,9.2,90.5,8.0,86.0,6.2,71.3,8.5,,
4,21,Female,6.4,217.8,20.8,,,184.6,13.7,,,,,,,171.0,12.6,162.2,11.3,151.4,8.1,139.7,6.6,129.9,5.4,,,108.4,5.3,102.6,5.9,94.8,6.5,,
5,42,Male,29.2,150.1,26.0,,,136.9,22.9,,,,,147.7,13.2,,,132.1,12.6,116.8,15.7,121.5,14.5,97.7,14.7,86.4,10.0,102.2,8.5,,,71.1,7.8,,
6,39,Male,18.2,291.0,30.9,178.4,20.5,,,,,,,147.5,13.0,,,,,161.7,12.5,152.0,10.4,142.9,8.6,94.3,8.6,89.2,6.2,99.9,6.9,91.6,5.2,,
7,22,Male,6.6,281.6,14.7,248.3,16.2,231.9,19.6,,,,,,,,,197.8,13.3,181.7,13.8,164.3,6.6,159.3,9.6,149.9,3.6,139.3,5.7,,,115.7,5.4,,
8,57,Male,4.8,234.0,16.8,207.2,13.7,,,186.2,19.1,,,,,,,165.2,10.4,155.7,13.0,143.4,7.2,136.7,8.9,125.0,3.6,118.7,3.0,,,98.3,5.8,90.9,6.3
9,52,Female,0.7,207.6,15.3,,,,,,,,,148.0,7.7,,,157.1,14.8,143.7,11.9,135.4,7.1,124.7,7.4,115.3,6.9,104.3,6.7,98.7,3.9,90.5,6.3,,
10,55,Male,33.1,140.8,37.5,133.5,31.4,130.6,25.2,,,,,100.0,17.0,,,99.5,17.6,104.8,18.1,88.0,13.9,82.0,14.4,76.0,6.2,71.0,9.2,66.1,9.4,60.5,8.2,,
11,50,Male,1.4,266.1,23.2,238.6,22.4,,,,,,,,,201.0,8.8,188.7,9.5,,,170.3,7.7,159.5,10.0,144.8,6.9,134.3,5.7,,,115.5,4.0,107.3,6.7
12,31,Male,4.2,296.4,17.8,258.3,17.1,231.1,12.6,212.9,19.1,,,,,206.2,16.8,214.9,12.8,190.5,11.1,168.3,9.5,151.7,8.5,152.1,6.8,139.1,5.6,125.0,4.4,129.7,5.0,118.8,6.8
13,30,Female,22.5,187.4,32.3,125.2,28.4,,,,,123.4,24.6,106.6,18.7,,,,,,,108.0,12.8,108.4,12.4,102.5,11.0,78.9,5.0,,,73.1,6.9,,
14,41,Female,11.3,183.6,35.5,184.4,22.8,166.4,25.6,,,,,,,,,146.9,13.0,134.8,15.9,124.7,12.7,123.5,7.4,114.9,8.3,105.6,6.3,,,86.1,6.4,79.8,7.0
15,29,Male,16.2,212.9,32.5,192.8,23.0,,,,,,,,,180.1,14.7,,,143.5,17.9,149.9,13.9,135.5,13.2,128.4,8.1,124.0,3.9,106.8,7.2,101.8,5.9,,
16,48,Male,24.1,191.2,33.3,164.8,32.8,,,,,,,,,,,133.4,13.1,113.0,14.9,,,131.2,7.7,,,84.3,4.4,,,70.4,6.9,63.7,5.1
17,53,Male,32.0,147.9,23.7,,,,,,,,,,,,,,,94.0,14.6,96.1,10.8,82.2,12.4,76.0,8.5,76.8,4.3,,,60.5,7.1,,
18,59,Male,17.6,151.5,20.9,181.1,23.3,,,,,,,153.8,9.7,,,,,127.6,10.4,103.1,16.2,113.2,11.4,94.8,9.5,100.4,7.5,,,70.1,7.7,,
19,22,Male,1.3,296.4,26.8,268.9,23.7,254.9,16.7,,,220.4,9.1,,,219.4,17.2,214.9,12.2,203.0,11.1,182.5,11.6,170.7,5.0,164.2,5.4,153.4,6.3,,,126.5,5.9,,
20,38,Female,33.9,127.2,36.6,106.7,33.0,100.0,23.9,,,,,80.0,20.5,,,83.0,12.4,,,88.1,12.2,78.3,9.8,61.5,5.8,55.5,4.9,,,54.4,8.1,,
21,29,Male,26.3,173.5,27.4,177.4,25.1,,,,,,,160.3,18.5,,,,,107.6,14.6,107.7,10.7,125.6,7.8,101.3,10.3,92.2,5.4,,,82.9,6.6,,
22,29,Male,9.1,260.2,27.3,231.9,23.1,,,,,,,190.8,14.8,200.7,15.6,182.1,13.9,176.4,13.6,164.4,10.6,151.8,6.8,139.7,8.1,132.2,3.4,121.7,6.7,112.7,4.6,,
23,50,Male,4.1,265.3,27.8,219.2,13.1,217.3,11.4,215.4,17.5,,,,,,,171.7,7.2,163.7,12.0,167.9,6.8,147.1,7.9,131.5,7.9,124.8,5.1,,,117.6,5.7,,
24,22,Female,18.4,141.4,21.5,187.1,24.1,,,,,,,,,147.4,18.3,146.2,11.9,127.8,14.2,103.1,8.8,97.4,8.0,91.3,8.2,90.0,8.6,88.6,4.4,82.9,8.8,74.9,4.9
25,50,Male,16.2,244.0,30.1,180.7,25.0,,,,,,,139.8,17.0,,,167.6,13.3,150.8,14.1,117.5,14.5,110.1,12.2,93.5,8.5,88.4,7.2,99.3,7.6,70.3,5.4,,
26,57,Male,9.4,204.1,26.1,194.0,13.7,,,,,,,,,163.6,9.9,141.8,11.9,143.8,7.6,134.3,10.0,123.1,10.0,117.8,6.1,101.9,4.3,,,92.5,6.6,82.1,6.6
27,23,Male,27.3,191.7,26.3,124.5,30.9,,,,,153.7,19.3,,,,,,,142.5,14.7,100.9,13.3,,,94.2,5.7,88.5,8.9,,,79.6,8.7,,
28,51,Male,24.7,181.8,29.3,,,118.0,17.6,,,,,,,140.9,20.8,115.8,18.5,,,88.0,9.9,116.5,12.1,99.9,7.5,92.9,5.3,90.2,8.1,67.1,6.4,83.3,10.7
29,59,Male,14.5,166.3,34.0,175.1,19.6,,,,,,,,,,,,,,,112.3,14.0,94.6,7.3,,,98.6,7.5,,,86.3,5.1,,
30,20,Female,29.5,133.4,38.4,,,,,,,,,,,,,,,99.0,18.1,91.5,16.5,87.9,9.6,62.6,8.4,57.9,9.9,64.4,8.3,61.1,5.6,,
31,22,Female,27.4,147.8,27.4,,,,,,,,,,,,,,,82.2,14.8,74.6,10.0,87.2,7.3,85.0,7.7,55.5,4.6,74.2,8.7,67.3,5.3,,
32,54,Male,33.3,141.1,27.3,124.5,33.6,,,,,,,,,,,,,100.6,11.4,88.0,11.0,82.0,11.8,76.0,10.1,74.6,5.4,,,60.5,6.2,55.0,6.2
